Datetime,Frequency per Minute,Activity Level
2023-02-19 08:45:56,20,Low Activity
2023-02-19 08:46:56,50,Low Activity
2023-02-19 08:47:56,4,Low Activity
2023-02-19 08:48:56,18,Low Activity
2023-02-19 08:49:56,7,Low Activity
2023-02-19 08:50:56,13,Low Activity
2023-02-19 08:51:56,8,Low Activity
2023-02-19 08:52:56,17,Low Activity
2023-02-19 08:53:56,111,Low Activity
2023-02-19 08:54:56,21,Low Activity
2023-02-19 08:55:56,36,Low Activity
2023-02-19 08:56:56,28,Low Activity
2023-02-19 08:57:56,16,Low Activity
2023-02-19 08:58:56,31,Low Activity
2023-02-19 08:59:56,377,Low Activity
2023-02-19 09:00:56,40,Low Activity
2023-02-19 09:01:56,172,Low Activity
2023-02-19 09:02:56,112,Low Activity
2023-02-19 09:03:56,13,Low Activity
2023-02-19 09:04:56,9,Low Activity
2023-02-19 09:05:56,109,Low Activity
2023-02-19 09:06:56,157,Low Activity
2023-02-19 09:07:56,5,Low Activity
2023-02-19 09:08:56,5,Low Activity
2023-02-19 09:09:56,164,Low Activity
2023-02-19 09:10:56,84,Low Activity
2023-02-19 09:11:56,288,Low Activity
2023-02-19 09:12:56,131,Low Activity
2023-02-19 09:13:56,1014,High Activity
2023-02-19 09:14:56,1039,High Activity
2023-02-19 09:15:56,1047,High Activity
2023-02-19 09:16:56,1015,High Activity
2023-02-19 09:17:56,1104,High Activity
2023-02-19 09:18:56,1058,High Activity
2023-02-19 09:19:56,1047,High Activity
2023-02-19 09:20:56,1090,High Activity
2023-02-19 09:21:56,1113,High Activity
2023-02-19 09:22:56,1084,High Activity
2023-02-19 09:23:56,1093,High Activity
2023-02-19 09:24:56,1138,High Activity
2023-02-19 09:25:56,1204,High Activity
2023-02-19 09:26:56,1141,High Activity
2023-02-19 09:27:56,1117,High Activity
2023-02-19 09:28:56,1109,High Activity
2023-02-19 09:29:56,1103,High Activity
2023-02-19 09:30:56,901,Moderate Activity
2023-02-19 09:31:56,821,Moderate Activity
2023-02-19 09:32:56,1104,High Activity
2023-02-19 09:33:56,1054,High Activity
2023-02-19 09:34:56,1076,High Activity
2023-02-19 09:35:56,1032,High Activity
2023-02-19 09:36:56,1087,High Activity
2023-02-19 09:37:56,1064,High Activity
2023-02-19 09:38:56,995,Moderate Activity
2023-02-19 09:39:56,1030,High Activity
2023-02-19 09:40:56,1027,High Activity
2023-02-19 09:41:56,1047,High Activity
2023-02-19 09:42:56,1060,High Activity
2023-02-19 09:43:56,1049,High Activity
2023-02-19 09:44:56,1013,High Activity
2023-02-19 09:45:56,1076,High Activity
2023-02-19 09:46:56,1105,High Activity
2023-02-19 09:47:56,1097,High Activity
2023-02-19 09:48:56,1057,High Activity
2023-02-19 09:49:56,1005,High Activity
2023-02-19 09:50:56,1060,High Activity
2023-02-19 09:51:56,1043,High Activity
2023-02-19 09:52:56,1038,High Activity
2023-02-19 09:53:56,1076,High Activity
2023-02-19 09:54:56,1048,High Activity
2023-02-19 09:55:56,1076,High Activity
2023-02-19 09:56:56,1036,High Activity
2023-02-19 09:57:56,1171,High Activity
2023-02-19 09:58:56,1014,High Activity
2023-02-19 09:59:56,1069,High Activity
2023-02-19 10:00:56,809,Moderate Activity
2023-02-19 10:01:56,810,Moderate Activity
2023-02-19 10:02:56,728,Moderate Activity
2023-02-19 10:03:56,939,Moderate Activity
2023-02-19 10:04:56,863,Moderate Activity
2023-02-19 10:05:56,949,Moderate Activity
2023-02-19 10:06:56,244,Low Activity
2023-02-19 10:07:56,223,Low Activity
2023-02-19 10:08:56,456,Low Activity
2023-02-19 10:09:56,859,Moderate Activity
2023-02-19 10:10:56,951,Moderate Activity
2023-02-19 10:11:56,1082,High Activity
2023-02-19 10:12:56,1029,High Activity
2023-02-19 10:13:56,984,Moderate Activity
2023-02-19 10:14:56,988,Moderate Activity
2023-02-19 10:15:56,1096,High Activity
2023-02-19 10:16:56,908,Moderate Activity
2023-02-19 10:17:56,980,Moderate Activity
2023-02-19 10:18:56,1009,High Activity
2023-02-19 10:19:56,1084,High Activity
2023-02-19 10:20:56,831,Moderate Activity
2023-02-19 10:21:56,1087,High Activity
2023-02-19 10:22:56,447,Low Activity
2023-02-19 10:23:56,950,Moderate Activity
2023-02-19 10:24:56,956,Moderate Activity
2023-02-19 10:25:56,898,Moderate Activity
2023-02-19 10:26:56,922,Moderate Activity
2023-02-19 10:27:56,778,Moderate Activity
2023-02-19 10:28:56,999,Moderate Activity
2023-02-19 10:29:56,847,Moderate Activity
2023-02-19 10:30:56,837,Moderate Activity
2023-02-19 10:31:56,890,Moderate Activity
2023-02-19 10:32:56,916,Moderate Activity
2023-02-19 10:33:56,886,Moderate Activity
2023-02-19 10:34:56,974,Moderate Activity
2023-02-19 10:35:56,911,Moderate Activity
2023-02-19 10:36:56,888,Moderate Activity
2023-02-19 10:37:56,939,Moderate Activity
2023-02-19 10:38:56,1039,High Activity
2023-02-19 10:39:56,725,Moderate Activity
2023-02-19 10:40:56,1175,High Activity
2023-02-19 10:41:56,951,Moderate Activity
2023-02-19 10:42:56,605,Moderate Activity
2023-02-19 10:43:56,1189,High Activity
2023-02-19 10:44:56,1112,High Activity
2023-02-19 10:45:56,1120,High Activity
2023-02-19 10:46:56,1009,High Activity
2023-02-19 10:47:56,962,Moderate Activity
2023-02-19 10:48:56,1145,High Activity
2023-02-19 10:49:56,1067,High Activity
2023-02-19 10:50:56,1168,High Activity
2023-02-19 10:51:56,1087,High Activity
2023-02-19 10:52:56,1163,High Activity
2023-02-19 10:53:56,1039,High Activity
